sid	sentence	disrel	relphrase	arg1	arg2	annotationOpt
1	A bicycle is nonliving.	purpose		bicycle	nonliving	0
2	Sense of smell helps a fox find food.	enable		Sense of smell	find food	1
3	When an ice cube melts, its state of matter changes from a solid to a liquid.	requirement		an ice cube melts	state of matter changes from a solid to a liquid	1
4	An objects hardness, taste, and texture are examples of properties.	cause		hardness, taste, and texture	properties	0
5	A bicycle is nonliving.	example		bicycle	nonliving	1
6	An iron nail is the best conductor of electricity.	requirement		iron nail	conductor of electricity	1
7	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	cause		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	0
8	A puddle drying in the sun is the best example of evaporation.	purpose		puddle drying in the sun	evaporation	0
9	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	enable		A decrease in air temperature	a person to shiver	0
10	Touch is used to determine an object's texture.	purpose		Touch	determine an object's texture	1
11	Animals get energy for growth and repair from food.	purpose		get energy	growth and repair from food	1
12	Water is usually found in nature as a liquid, solid, and gas.	cause		Water	liquid, solid, and gas	0
13	A meter describes an object's length.	purpose		meter	describes an object's length	1
14	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	purpose		change shape	make the clay float	1
15	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	example		Covering them	protect plants growing outside	0
16	A claws for obtaining food is correctly paired with its function.	purpose		claws	obtaining food	1
17	An example of a poor health habit is eating candy instead of lunch.	example		eating candy instead of lunch	a poor health habit	1
18	Sense of smell helps a fox find food.	cause		Sense of smell	find food	0
19	Gravity causes a marble to sink to the bottom of a glass of water.	purpose		Gravity	a marble to sink to the bottom of a glass of water	0
20	In New York State, the longest period of daylight occurs during June.	purpose		the longest period of daylight	during June	0
21	An example of a poor health habit is eating candy instead of lunch.	purpose		eating candy instead of lunch	a poor health habit	0
22	In New York State, the shortest period of daylight occurs during December.	requirement		the shortest period of daylight	during December	0
23	Polluting most often has a harmful effect on the environment.	purpose		Polluting	environment	0
24	An iron nail is the best conductor of electricity.	cause		iron nail	conductor of electricity	0
25	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	cause		a hand lens	get a better look at the spots	0
26	Sleet, rain, snow, and hail are forms of precipitation.	requirement		Sleet, rain, snow, and hail	precipitation	0
27	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	requirement		Gravity	pulls the marble to the bottom	0
28	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	cause		a baby shakes a rattle	Mechanical energy was changed to sound energy	1
29	The length of daylight in New York State changes from summer to fall by decreasing.	enable		The length of daylight	changes from summer to fall by decreasing	0
30	Exercising every day is an example of a good health habit.	example		Exercising every day	good health habit	1
31	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	example		special feature	adapt to their environment	0
32	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	cause		heat that produces the smoke	friction	1
33	A turtle eating worms is an example of taking in nutrients.	enable		A turtle eating worms	taking in nutrients	0
34	Gravity causes a marble to sink to the bottom of a glass of water.	enable		Gravity	a marble to sink to the bottom of a glass of water	1
35	The movement of soil by wind or water is called erosion.	purpose		movement of soil by wind or water	erosion	0
36	Living things depend on energy from the Sun.	example		Sun	Living things	0
37	Sunlight is the main source of energy for the water cycle.	requirement		Sunlight	the water cycle	1
38	Meters can be used to describe an objects length.	cause		Meters	describe an objects length	0
39	Mechanical energy is being used when a person pushes a wooden block across the floor.	example		Mechanical energy	pushes a wooden block across the floor	0
40	Having blue eyes is inherited rather than learned.	purpose		Having blue eyes	inherited	0
41	A bicycle is nonliving.	requirement		bicycle	nonliving	0
42	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	purpose		special feature	adapt to their environment	0
43	Water freezing is an example of a liquid changing to a solid.	example		Water freezing	a liquid changing to a solid	1
44	A turtle eating worms is an example of taking in nutrients.	purpose		A turtle eating worms	taking in nutrients	0
45	Since green plants make their own food, they are called producers.	purpose		green plants make their own food	producers	0
46	Animals get energy for growth and repair from food.	cause		energy	growth and repair from food	1
47	It takes one week for Earth to rotate on its axis seven times.	purpose		Earth to rotate	one week	0
48	Humans depend on water from the environment.	example		water	humans	0
49	A thick fur would best help a bear to survive a winter in New York State.	requirement		thick fur	survive in winter	1
50	A meter describes an object's length.	example		meter	describes an object's length	0
51	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	enable		heat that produces the smoke	friction	0
52	Sleet and hail are forms of precipitation.	cause		Sleet and hail	precipitation	0
53	All animals do need water, air, and food in order to survive.	cause		water, air and food	survive	0
54	The functions of a plant's roots are to support the plant and take in water and nutrients.	purpose		roots	support the plant and take in water and nutrients	1
55	An objects hardness, taste, and texture are examples of properties.	purpose		hardness, taste, and texture	properties	0
56	Centimeters can be used to describe the length of a desk.	purpose		Centimeters	describe the length of a desk	1
57	The main function of scales on a fish is to protect the fish.	cause		scales of a fish	protect the fish	0
58	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	example		a hand lens	get a better look at the spots	0
59	Winter season is a season of the year during which a rabbits fur would be thickest.	purpose		Winter season	a rabbits fur would be thickest	0
60	Green plants get the energy they need to make food from sunlight.	example		sunlight	make food	0
61	Gravity causes a marble to sink to the bottom of a glass of water.	requirement		Gravity	a marble to sink to the bottom of a glass of water	1
