sid	sentence	disrel	relphrase	arg1	arg2	annotationOpt
1	Resting is necessary for humans to maintain good health.	part		resting	maintain good health	
2	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	condition		Sound	receive this warning about danger	
3	A bicycle is nonliving.	purpose		bicycle	nonliving	
4	Sense of smell helps a fox find food.	enable		Sense of smell	find food	
5	When an ice cube melts, its state of matter changes from a solid to a liquid.	requirement		an ice cube melts	state of matter changes from a solid to a liquid	
6	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	condition		adaptation	camouflag	
7	A decomposer is an organism that breaks down dead plants and animals.	effect		decomposer	breaks down dead plants and animals	
8	An objects hardness, taste, and texture are examples of properties.	cause		hardness, taste, and texture	properties	
9	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	effect		a graduated cylinder	measure the volume of a liquid	
10	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	condition		experiment tests	how the plants respond to light	
11	A bicycle is nonliving.	example		bicycle	nonliving	
12	If an object is attracted to a magnet, the object is most likely made of metal.	part		an object is attracted to a magnet	the object is most likely made of metal	
13	An iron nail is the best conductor of electricity.	requirement		iron nail	conductor of electricity	
14	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	cause		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
15	A puddle drying in the sun is the best example of evaporation.	purpose		puddle drying in the sun	evaporation	
16	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	enable		A decrease in air temperature	a person to shiver	
17	Touch is used to determine an object's texture.	purpose		Touch	determine an object's texture	
18	Gravity causes rocks to roll downhill.	part		Gravity	rocks to roll downhill	
19	Water is usually found in nature as a liquid, solid, and gas.	cause		Water	liquid, solid, and gas	
20	A meter describes an object's length.	purpose		meter	describes an object's length	
21	Meters can be used to describe an objects length.	effect		Meters	describe an objects length	
22	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	purpose		change shape	make the clay float	
23	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	example		Covering them	protect plants growing outside	
24	A claws for obtaining food is correctly paired with its function.	purpose		claws	obtaining food	
25	An example of a poor health habit is eating candy instead of lunch.	example		eating candy instead of lunch	a poor health habit	
26	A turtle eating worms is an example of taking in nutrients.	part		A turtle eating worms	taking in nutrients	
27	Decrease the temperature is one way to change water from a liquid to a solid.	condition		Decrease the temperature	change water from a liquid to a solid	
28	Sense of smell helps a fox find food.	cause		Sense of smell	find food	
29	A bicycle is nonliving.	condition		bicycle	nonliving	
30	It takes one week for Earth to rotate on its axis seven times.	condition		Earth to rotate	one week	
31	Gravity causes a marble to sink to the bottom of a glass of water.	purpose		Gravity	a marble to sink to the bottom of a glass of water	
32	Heat is needed to change water from a liquid to a gas.	effect		Heat	change water from a liquid to a gas	
33	The movement of soil by wind or water is called erosion.	condition		movement of soil by wind or water	erosion	
34	Flower of a plant produces the seeds.	effect		Flower of a plant	seeds	
35	In New York State, the longest period of daylight occurs during June.	purpose		the longest period of daylight	during June	
36	An example of a poor health habit is eating candy instead of lunch.	purpose		eating candy instead of lunch	a poor health habit	
37	In New York State, the shortest period of daylight occurs during December.	requirement		the shortest period of daylight	during December	
38	Polluting most often has a harmful effect on the environment.	purpose		Polluting	environment	
39	A meter describes an object's length.	part		meter	describes an object's length	
40	An iron nail is the best conductor of electricity.	cause		iron nail	conductor of electricity	
41	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	cause		a hand lens	get a better look at the spots	
42	Sleet, rain, snow, and hail are forms of precipitation.	requirement		Sleet, rain, snow, and hail	precipitation	
43	Touch is used to determine an object's texture.	effect		Touch	determine an object's texture	
44	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	requirement		Gravity	pulls the marble to the bottom	
45	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	cause		a baby shakes a rattle	Mechanical energy was changed to sound energy	
46	The length of daylight in New York State changes from summer to fall by decreasing.	enable		The length of daylight	changes from summer to fall by decreasing	
47	A student crumples up a sheet of paper. Shape has changed.	part		crumples up a sheet of paper	Shape has changed	
48	Decrease the temperature is one way to change water from a liquid to a solid.	effect		Decrease the temperature	change water from a liquid to a solid	
49	Exercising every day is an example of a good health habit.	example		Exercising every day	good health habit	
50	The length of daylight in New York State changes from summer to fall by decreasing.	part		The length of daylight	changes from summer to fall by decreasing	
51	Temperature and sky conditions are both used to describe weather.	effect		Temperature and sky conditions	describe	
52	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	example		special feature	adapt to their environment	
53	Water freezing is an example of a liquid changing to a solid.	purpose		Water freezing	a liquid changing to a solid	
54	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	cause		heat that produces the smoke	friction	
55	A turtle eating worms is an example of taking in nutrients.	enable		A turtle eating worms	taking in nutrients	
56	Gravity causes a marble to sink to the bottom of a glass of water.	enable		Gravity	a marble to sink to the bottom of a glass of water	
57	The movement of soil by wind or water is called erosion.	purpose		movement of soil by wind or water	erosion	
58	Exercising every day is an example of a good health habit.	condition		Exercising every day	good health habit	
